1
pronounce       发音
vowel           元音
jaw             下巴
tongue tip      舌尖
lightly         轻轻
presses         按下
lips            嘴唇
further         进一步
up close        近距离
stressed        重读
syllable        音节
shape           形状
flatter         更平
occupation      职业

2
advanced        高级
fluent          流利
students        学生们
shocking experience 震惊的经验
confidence      信心
hard            艰难
correct         正确
each            每个
specific sound  特定的声音
exactly         准确的
illustrations   插图
close-ups       特写
phonetic        语音
symbols         符号
expect          预想
colonel         上校？？？
confidently     自信地
limits          上限
a solid foundation  坚实的基础

3
rest            其他部分
remains         保持
stuff           填充
curves          线条
pitch           音调
quieter         比较安静
let's take a look   让我们看一看
cheeks          脸颊
slightly        稍稍
compare         对比
above           上面
below           下面
typical         典型的
diphthongs      双元音
untie           解开
uphill          上坡

4
quite similar   非常相似
instead         代替
consonant       辅音
shifts back     后移
flare           张开
technique       技巧
might           可能
shifting        移动
extremely       及其
effected        影响
blend           混合
modified        修改

5
